Date,Bid Price,Last Price,Ask Price,spread,Adjusted Duration
11/07/2024,67.426,68.946,70.465,69.3017,0.003579467
11/06/2024,68.109,69.702,71.296,71.4307,-0.005094492
11/04/2024,73.258,74.761,76.264,73.5865,-0.031389262
11/01/2024,72.419,73.936,75.453,76.1961,0.004275866
10/10/2024,71.68,73.152,74.625,72.6042,-0.002983772
10/09/2024,71.727,73.186,74.645,73.5917,-0.00047045
10/07/2024,72.963,74.434,75.904,69.4701,0.004067967
10/04/2024,71.973,73.448,74.922,74.488,0.002675315
10/01/2024,73.628,75.081,76.535,77.0696,-0.008424947
09/10/2024,71.969,73.482,74.995,72.5645,-0.004830177
09/09/2024,70.602,72.082,73.561,72.235,-0.058944839
09/05/2024,70.99,72.447,73.904,70.9683,0.003977395
09/04/2024,70.981,72.496,74.01,71.6838,-0.000944653
08/08/2024,76.337,77.873,79.409,78.15,-0.010678346
08/07/2024,79.232,80.811,82.391,69.6301,0.004267237
08/02/2024,76.665,78.139,79.612,76.7006,0.004836358
08/01/2024,73.506,74.998,76.489,78.7084,0.020859208
07/11/2024,67.758,69.234,70.709,68.6028,-0.008238392
07/10/2024,67.926,69.4,70.873,73.8548,-0.000455432
06/11/2024,69.641,71.108,72.575,68.8093,0.004760638
06/06/2024,69.439,70.915,72.39,71.1618,0.001156883
06/05/2024,68.829,70.283,71.738,70.9556,-0.043609201
06/03/2024,69.145,70.61,72.075,72.5925,-0.002829172
05/09/2024,69.341,70.801,72.262,72.1719,0.006413937
05/08/2024,69.514,70.975,72.435,81.5762,-0.000260686
05/07/2024,69.308,70.798,72.288,70.3067,-0.000221844
05/06/2024,69.039,70.499,71.958,70.5458,0.017738164
05/03/2024,69.393,70.852,72.311,73.6933,-0.001582912
05/02/2024,70.745,72.205,73.664,76.7817,-0.006067321
05/01/2024,71.679,73.158,74.636,81.2108,-0.002941139
04/03/2024,72.683,74.933,77.184,72.7525,0.002800542
04/01/2024,71.994,74.239,76.485,81.7669,0.001037028
03/07/2024,69.745,71.987,74.23,70.6324,-0.002809594
03/06/2024,70.348,72.623,74.897,70.2971,0.026118569
03/05/2024,71.369,73.618,75.866,71.3115,-0.013323853
03/04/2024,70.898,73.074,75.25,73.304,0.003736265
03/01/2024,71.217,73.486,75.754,82.279,-0.000624681
02/09/2024,73.709,75.886,78.064,69.882,0.002551132
02/08/2024,74.869,77.053,79.237,78.6722,-0.001722989
02/07/2024,75.016,77.186,79.356,71.235,0.000231688
02/05/2024,74.841,76.98,79.118,72.4886,0.002134668
02/02/2024,74.219,76.418,78.617,76.205,0.001978874
02/01/2024,74.643,76.953,79.263,80.4607,-0.001633643
01/11/2024,74.233,76.645,79.057,72.8569,-0.000528489
01/10/2024,75.041,77.463,79.885,74.5557,-0.006216082
01/08/2024,76.815,79.178,81.542,75.2555,-0.030951782
01/05/2024,79.192,81.554,83.915,73.7928,0.019918008
01/04/2024,79.685,82.049,84.412,73.5408,0.023940398
01/03/2024,80.507,82.908,85.309,73.2075,0.031085754
01/02/2024,78.36,80.708,83.057,76.656,0.007904527
12/12/2023,79.582,81.918,84.255,81.5968,-0.00298957
12/07/2023,82.154,84.483,86.811,84.155,-0.011868164
12/06/2023,82.752,85.035,87.319,90.6531,-0.000998976
12/05/2023,82.294,84.611,86.929,100.292,0.00051989
12/04/2023,82.207,84.419,86.631,97.1795,-0.000730721
12/01/2023,80.668,83.472,86.276,91.3029,-0.001930559
11/10/2023,88.085,90.107,92.128,94.8575,-0.020715321
11/09/2023,90.26,92.343,94.426,84.55,0.00234917
11/08/2023,89.165,91.479,93.794,86.7056,0.004381514
11/07/2023,89.512,91.493,93.474,86.445,0.000587173
11/01/2023,95.527,97.497,99.468,92.5871,-0.010026112
10/11/2023,92.708,94.827,96.945,89.6954,-0.009737019
10/10/2023,93.247,95.337,97.428,95.539,-0.000915436
10/05/2023,97.711,99.331,100.95,99.7688,-0.009506123
10/04/2023,96.358,97.95,99.543,97.9144,-0.007603015
10/03/2023,97.125,98.776,100.427,104.4786,-0.001273934
10/02/2023,93.989,95.495,97,94.3332,-0.003386542
03/10/2023,102.72,104.609,106.498,99.2387,-0.017760562
03/08/2023,95.778,96.32,96.862,88.2833,-0.007855203
03/07/2023,93.378,94.968,96.559,87.3737,-0.015651247
03/03/2023,90.996,92.568,94.14,92.1944,0.005378241
03/02/2023,94.959,96.557,98.155,90.4581,0.023793345
03/01/2023,95.728,97.302,98.875,99.41,-0.000855302
02/10/2023,93.159,94.752,96.345,95.9231,-0.007718134
02/08/2023,90.169,91.822,93.475,87.4453,-0.003763897
02/06/2023,90.346,91.944,93.541,91.575,-0.000321305
02/03/2023,89.446,91.11,92.774,96.0239,0.002057536
02/02/2023,87.128,89.005,90.881,87.812,-0.00288001
02/01/2023,88.558,90.16,91.762,101.0159,-0.00097021
